4050-419;41.14347;-8.6132059
4050-421;41.14347;-8.6132059
4050-420;41.14347;-8.6132059
4050-416;41.14347;-8.6132059
4050-417;41.14347;-8.6132059
4050-418;41.14347;-8.6132059
4050-414;41.14347;-8.6132059
4050-415;41.14347;-8.6132059
4150-525;41.1496921;-8.6523636
4100-054;41.167884;-8.6489044
4000-353;41.1554959;-8.6080287
4000-352;41.1554959;-8.6080287
4000-351;41.1554959;-8.6080287
4250-330;41.177255;-8.646498
4250-329;41.177255;-8.646498
4300-351;41.1579438;-8.6291053
4250-323;41.177255;-8.646498
4200-411;41.1702633;-8.5983178
4250-326;41.1673107;-8.6240798
4250-327;41.1673107;-8.6240798
4250-325;41.1673107;-8.6240798
4250-324;41.1673107;-8.6240798
4250-328;41.1673107;-8.6240798
4350-240;41.1738944;-8.5808056
4350-242;41.1740107;-8.5800905
4350-241;41.1740107;-8.5800905
4000-356;41.1595868;-8.5938084
4000-355;41.1595868;-8.5938084
4000-354;41.1595868;-8.5938084
4250-038;41.1766249;-8.6181109
4350-248;41.1744784;-8.5760171
4350-249;41.1744784;-8.5760171
4350-247;41.1744784;-8.5760171
4350-246;41.1744784;-8.5760171
4350-243;41.1744784;-8.5760171
4350-244;41.1744784;-8.5760171
4200-412;41.1647289;-8.5903467
4200-413;41.1647289;-8.5903467
4200-412;41.1647289;-8.5903467
4200-412;41.1647289;-8.5903467
4350-252;41.1682676;-8.5725244
4350-250;41.1682676;-8.5725244
4350-251;41.1682676;-8.5725244
4000-358;41.1591494;-8.5946601
4000-357;41.1591494;-8.5946601
4000-359;41.1595092;-8.5946307
4150-526;41.1507639;-8.651868
4200-414;41.1722636;-8.5994964
4200-109;41.1769408;-8.587399
4200-416;41.1652189;-8.5910468
4200-415;41.1652189;-8.5910468
4150-527;41.1639187;-8.6765808
4150-528;41.1653024;-8.6780731
4100-055;41.1715809;-8.6618603
4100-058;41.1715809;-8.6618603
4100-057;41.1715809;-8.6618603
4100-057;41.1715809;-8.6618603
4100-056;41.1715809;-8.6618603
4100-055;41.1715809;-8.6618603
4150-529;41.1640813;-8.6761065
4250-332;41.1649082;-8.619862
4250-331;41.1649082;-8.619862
4150-531;41.1540345;-8.6586142
4150-530;41.1540345;-8.6586142
4250-334;41.1715127;-8.615165
4250-333;41.1715127;-8.615165
4300-352;41.1468092;-8.5827667
4300-353;41.1465601;-8.5830281
4100-362;41.1733138;-8.6565995
4300-357;41.1632713;-8.5703283
4050-049;41.1548484;-8.6209149
4050-048;41.1548484;-8.6209149
4050-047;41.1548484;-8.6209149
4050-046;41.1548484;-8.6209149
4099-030;41.1548484;-8.6209149
4050-425;41.1597924;-8.6249657
4050-427;41.1597924;-8.6249657
4050-428;41.1597924;-8.6249657
4050-426;41.1597924;-8.6249657
4050-425;41.1597924;-8.6249657
4100-364;41.1700674;-8.6691413
4100-363;41.1700674;-8.6691413
4050-429;41.1423987;-8.6200506
4050-430;41.1423987;-8.6200506
4050-431;41.1423987;-8.6200506
4300-363;41.1516962;-8.5635041
4300-360;41.158956;-8.5802352
4300-359;41.158956;-8.5802352
